name,address,address2,city,state,country,zip,notes,phone,fax,currency
Hanoi Hub,88 Ly Thai To,Floor 4,Hanoi,,VN,100000,Primary regional office for SE Asia operations with onsite server room,84-24-3936,84-24-3937,VND
Berlin Tech,72 Friedrichstraße,Suite 200,Berlin,Berlin,DE,10117,European headquarters located near Checkpoint Charlie,49-30-2096,49-30-2097,EUR
Tokyo Central,1-5-1 Marunouchi,Chiyoda-ku,Tokyo,Tokyo,JP,100-6590,High-security facility requires biometric access for asset removal,81-3-3210,81-3-3211,JPY
Sydney Wharf,200 George Street,Level 15,Sydney,NSW,AU,2000,Regional distribution center for hardware replacements,61-2-9244,61-2-9245,AUD
Toronto North,5000 Yonge St,Unit 12,Toronto,ON,CA,M2N 7E9,Main Canadian branch located in North York center,1-416-224,1-416-225,CAD
Mumbai Data,Plot C-20 G Block,Bandra Kurla,Mumbai,MH,IN,400051,Tier 3 data center facility with 24/7 technical support staff,91-22-6650,91-22-6651,INR
London Wall,100 Bishopsgate,Floor 22,London,Greater London,GB,EC2N 4AG,UK Finance and compliance office,44-20-7000,44-20-7001,GBP
Sao Paulo South,Av. Paulista 1100,Sala 5,Sao Paulo,SP,BR,01310-100,Satellite office for South American sales team,55-11-3170,55-11-3171,BRL
Dubai Creek,Al Maktoum Rd,PO Box 1234,Dubai,Dubai,AE,,Middle East logistics hub located near international airport,971-4-222,971-4-223,AED
Cape Town East,100 St Georges Mall,Office 10,Cape Town,Western Cape,ZA,8001,Regional support center for African continent operations,27-21-481,27-21-482,ZAR
Seoul Cyber,255-1 Sejong-no,Jongno-gu,Seoul,,KR,03154,R&D center for mobile hardware testing,82-2-730,82-2-731,KRW
Madrid Plaza,Calle de Alcala 45,Piso 3,Madrid,Madrid,ES,28014,Logistics node for Southern Europe equipment repairs,34-91-521,34-91-522,EUR
Mexico City West,Paseo de la Reforma,Floor 12,Mexico City,CDMX,MX,06600,High-volume inventory storage for LATAM region,52-55-5080,52-55-5081,MXN
Singapore Point,10 Collyer Quay,Level 30,Singapore,,SG,049315,Asia-Pacific executive briefing center,65-6535,65-6536,SGD
Amsterdam Port,Prins Hendrikkade 1,Suite 4,Amsterdam,NH,NL,1012 TM,Customs bonded warehouse for incoming hardware shipments,31-20-530,31-20-531,EUR
Zurich Hill,Bahnhofstrasse 1,Floor 1,Zurich,ZH,CH,8001,Secure storage for high-value encryption assets,41-44-211,41-44-212,CHF
Stockholm Nord,Klarabergsviadukten 63,Box 70,Stockholm,AB,SE,111 64,Scandinavian IT service desk and repair shop,46-8-506,46-8-507,SEK
Bangkok Sky,989 Rama I Rd,Unit 2,Bangkok,Bangkok,TH,10330,Operations center for regional e-commerce infrastructure,66-2-658,66-2-659,THB
Dublin Quay,70 Sir John Rogerson's Quay,Ground Floor,Dublin,Leinster,IE,D02 R296,Primary EMEA data residency and compliance center,353-1-475,353-1-476,EUR
Istanbul Grand,Buyukdere Cad 185,Kanyon,Istanbul,,TR,34394,Regional sales and technical training facility,90-212-319,90-212-320,TRY
